Generation 0
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True], [8, [3, 1], True, [8, 1], 150, [3, 1], False, [8, 1], False, <function relu at 0x7f81162d4a60>, False]] : 0.08943203091621399
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, False], [96, [3, 1], True, [16, 1], 150, [3, 1], True, [8, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.07339879125356674
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True], [64, [7, 1], True, [8, 1], 150, [3, 1], False, [32, 1], False, <function tanh at 0x7f81164a0b70>, True]] : 0.06241811811923981
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True], [32, [5, 1], True, [4, 1], 96, [5, 1], True, [32, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07329151779413223
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True], [16, [5, 1], False, [32, 1], 150, [7, 1], False, [32, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.069184310734272
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True], [16, [3, 1], False, [16, 1], 32, [5, 1], True, [1, 1], True, <function tanh at 0x7f81164a0b70>, False]] : 0.07319863885641098
[[32, [7, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True], [64, [5, 1], False, [2, 1], 96, [3, 1], False, [4, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.06850307434797287
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True], [8, [3, 1], False, [8, 1], 150, [3, 1], True, [16, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07261327654123306
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True], [96, [7, 1], False, [4, 1], 16, [3, 1], False, [16, 1], False, <function tanh at 0x7f81164a0b70>, False]] : 0.06336333602666855
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True], [8, [5, 1], True, [4, 1], 8, [3, 1], False, [2, 1], False, <function tanh at 0x7f81164a0b70>, False]] : 0.07217109203338623
