Generation 0
[[16, [7, 3], False, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06283046305179596
[[16, [7, 1], False, [1, 1], 8, [7, 3], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.0619291290640831
[[64, [7, 7], True, [1, 1], 32, [3, 1], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.08616233617067337
[[96, [7, 3], True, [1, 1], 8, [3, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06769692152738571
Generation 4
[[16, [3, 3], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06535179167985916
[[32, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, False]] : 0.0738169252872467
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, False]] : 0.06388375163078308
[[16, [5, 1], True, [1, 1], 8, [7, 1], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.06636457145214081
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.060736704617738724
[[64, [7, 1], True, [1, 1], 16, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05004756152629852
[[32, [5, 3], False, [1, 1], 32, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.0735020563006401
[[8, [5, 5], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.06570246070623398
[[8, [7, 1], True, [1, 1], 8, [5, 5], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06402337551116943
[[128, [7, 1], True, [1, 1], 8, [7, 3], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.055273398756980896
[[16, [7, 1], False, [1, 1], 8, [5, 3], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05332943797111511
[[64, [7, 7], False, [4, 1], 96, [3, 1], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.06933543086051941
[[32, [5, 3], False, [1, 1], 32, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06654270738363266
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06401877105236053
[[8, [7, 1], False, [1, 1], 96, [5, 5], True, [4, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.40853142738342285
[[64, [7, 1], True, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.07307273894548416
[[16, [7, 3], False, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, False]] : 0.061301201581954956
[[16, [7, 1], False, [1, 1], 8, [7, 3], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06458448618650436
[[16, [5, 3], False, [1, 1], 8, [7, 1], False, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06626813858747482
[[128, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.05407744273543358
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.07293815165758133
[[16, [3, 3], True, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06883465498685837
[[64, [7, 1], True, [1, 1], 8, [5, 5], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05605265125632286
[[32, [5, 3], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06321398168802261
[[8, [5, 5], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.07150130718946457
[[8, [5, 5], False, [1, 1], 96, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.0461975559592247
[[128, [7, 1], True, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.07103198021650314
[[96, [5, 5], False, [1, 1], 64, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06486387550830841
[[64, [7, 1], False, [2, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06387375295162201
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.05852792039513588
Generation 0
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, False], [16, [7, 1], True, [2, 1], 8, [5, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, False]] : 0.06171754002571106
[[96, [5, 3], True, [2, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [32, [3, 1], False, [1, 1], 16, [5, 1], True, [2, 1], False, <function relu at 0x7fec73e4e9d8>, False]] : 0.06574791669845581
[[64, [7, 1], True, [1, 1], 16, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True], [128, [5, 1], False, [2, 1], 96, [7, 1], False, [4, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05232556164264679
[[8, [7, 1], True, [1, 1], 8, [5, 5], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True], [96, [7, 1], False, [2, 1], 32, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.045834191143512726
[[128, [7, 1], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True], [8, [5, 1], True, [2, 1], 8, [3, 1], True, [4, 1], False, <function selu at 0x7fec73e7c2f0>, False]] : 0.05101590231060982
